Stock name,Stock price,Timestamp
AAPL_US_EQ,172.20,1684864085899
AAPL_US_EQ,172.20,1684864088400
AAPL_US_EQ,172.21,1684864090002
AAPL_US_EQ,172.21,1684864096198
AAPL_US_EQ,172.21,1684864100502
AAPL_US_EQ,172.21,1684864104400
AAPL_US_EQ,172.21,1684864106798
AAPL_US_EQ,172.22,1684864109600
AAPL_US_EQ,172.22,1684864117301
AAPL_US_EQ,172.25,1684864119999
AAPL_US_EQ,172.23,1684864122900
AAPL_US_EQ,172.22,1684864125896
AAPL_US_EQ,172.23,1684864134002
AAPL_US_EQ,172.24,1684864141197
AAPL_US_EQ,172.23,1684864147597
AAPL_US_EQ,172.24,1684864149096
AAPL_US_EQ,172.24,1684864151996
AAPL_US_EQ,172.25,1684864154496
AAPL_US_EQ,172.23,1684864156396
AAPL_US_EQ,172.24,1684864163199
AAPL_US_EQ,172.24,1684864167700
AAPL_US_EQ,172.24,1684864170699
AAPL_US_EQ,172.25,1684864176501
